id,branch
0,CITY STACK
1,CITY
2,WEST END
3,CRUDDAS PARK
4,GOSFORTH
5,PRIORITY SERVICES
6,PLAYGROUP
7,OUTER WEST LIBRARY
8,HIGH HEATON
9,EAST END
10,BLAKELAW
11,NEWBURN
12,CITY STOCK RESERVE
13,LOCAL STUDIES
14,SUPPORT SERVICES
15,FENHAM
16,DENTON BURN
17,KENTON
18,ZBUSINESS & SCIENCE
19,NEWBIGGIN HALL
20,BUSINESS INTELLECTUAL PROPERTY CENTRE
21,FAWDON
22,ZCITY MOBILE
23,WALKER
24,ZMOBILE
25,JESMOND
26,MOORSIDE
27,ZTOURIST INFORMATION CENTRE
28,SKILLS HUB
29,ZNEW HIGH HEATON
30,DINNINGTON
31,ZHUMANITIES & ARTS
32,ZOLD CITY STOCK
33,ZNEW BENWELL
34,ZNEW CITY LIBRARY
35,ZICT
36,ZNEW GOSFORTH
